Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,570.284302,594.846863,566.654236,575.779175,575.779175,33517269
2014-10-01,574.432922,579.409241,506.708832,557.549255,557.549255,52163424
2014-11-01,553.979065,556.372498,528.628662,540.346497,540.346497,28520691
2014-12-01,537.424500,539.927612,487.661133,524.958740,524.958740,45864878
2015-01-01,527.561584,540.685547,486.225067,533.056519,533.056519,50228122
2015-02-01,530.274109,563.163818,517.130249,556.871094,556.871094,32595448
2015-03-01,558.995300,576.327698,542.729919,546.499573,546.499573,38648620
2015-04-01,547.097961,569.576233,519.583496,537.340027,537.340027,42377628
2015-05-01,538.429993,544.190002,521.085022,532.109985,532.109985,31865900
2015-06-01,536.789978,543.739990,520.500000,520.510010,520.510010,34320500
2015-07-01,524.729980,678.640015,515.179993,625.609985,625.609985,63319000
2015-08-01,625.340027,674.900024,565.049988,618.250000,618.250000,53717400
2015-09-01,602.359985,650.900024,589.380005,608.419983,608.419983,47955000
2015-10-01,608.369995,730.000000,599.849976,710.809998,710.809998,49438600
2015-11-01,711.059998,762.708008,705.849976,742.599976,742.599976,33934800
2015-12-01,747.109985,779.979980,724.169983,758.880005,758.880005,43100300
2016-01-01,743.000000,752.000000,673.260010,742.950012,742.950012,46561200
2016-02-01,750.460022,789.869995,663.059998,697.770020,697.770020,64367000
2016-03-01,703.619995,757.880005,685.340027,744.950012,744.950012,41742400
2016-04-01,738.599976,769.900024,689.000000,693.010010,693.010010,42154000
2016-05-01,697.630005,739.729980,689.010010,735.719971,735.719971,34996500
2016-06-01,734.530029,737.210022,663.283997,692.099976,692.099976,39362500
2016-07-01,692.200012,778.549988,688.215027,768.789978,768.789978,29914800
2016-08-01,761.090027,789.750000,761.090027,767.049988,767.049988,26385400
2016-09-01,769.250000,789.849976,754.000000,777.289978,777.289978,27551400
2016-10-01,774.250000,816.679993,769.500000,784.539978,784.539978,33956300
2016-11-01,782.890015,795.632996,727.539978,758.039978,758.039978,42642200
2016-12-01,757.440002,804.380005,737.025024,771.820007,771.820007,32097300
